East Province Area One,Pikachu,,1
East Province Area One,Venonat,,1
East Province Area One,Tauros,,1
East Province Area One,Skiploom,,1
East Province Area One,Murkrow,,1
East Province Area One,Pineco,,1
East Province Area One,Dunsparce,,1
East Province Area One,Teddiursa,,1
East Province Area One,Makuhita,,1
East Province Area One,Azurill,,1
East Province Area One,Gulpin,Violet,1
East Province Area One,Swablu,,1
East Province Area One,Shuppet,,1
East Province Area One,Shellos,,1
East Province Area One,Deerling,,1
East Province Area One,Flechinder,,1
East Province Area One,Litleo,,1
East Province Area One,Skiddo,,1
East Province Area One,Yungoos,,1
East Province Area One,Gumshoos,,1
East Province Area One,Oricorio,,1
East Province Area One,Bounsweet,,1
East Province Area One,Steenee,,1
East Province Area One,Komala,,1
East Province Area One,Rookidee,,1
East Province Area One,Corvisquire,,1
East Province Area One,Applin,,1
East Province Area One,Lechonk,,1
East Province Area One,Oinkologne,,1
East Province Area One,Spidops,,1
East Province Area One,Pawmo,,1
East Province Area One,Tandemaus,,1
East Province Area One,Squakabilly,,1
East Province Area One,Nacli,,1
East Province Area One,Charcadet,,1
East Province Area One,Tadbulb,,1
East Province Area One,Wattrel,,1
East Province Area One,Shroodle,,1
East Province Area One,Toedscool,,1
East Province Area One,Cyclizar,,1
East Province Area One,Veluza,,1
East Province Area Two,Psyduck,,1
East Province Area Two,Slowpoke,,1
East Province Area Two,Magnemite,,1
East Province Area Two,Grimer,,1
East Province Area Two,Gastly,,1
East Province Area Two,Chansey,,1
East Province Area Two,Tauros,,1
East Province Area Two,Magikarp,,1
East Province Area Two,Marill,,1
East Province Area Two,Skiploom,,1
East Province Area Two,Murkrow,,1
East Province Area Two,Misdreavus,Violet,1
East Province Area Two,Pineco,,1
East Province Area Two,Dunsparce,,1
East Province Area Two,Kirlia,,1
East Province Area Two,Makuhita,,1
East Province Area Two,Shuppet,,1
East Province Area Two,Pachirisu,,1
East Province Area Two,Buizel,,1
East Province Area Two,Drifloon,Scarlet,1
East Province Area Two,Bronzor,,1
East Province Area Two,Rotom,,1
East Province Area Two,Basculin,,1
East Province Area Two,Deerling,,1
East Province Area Two,Litleo,,1
East Province Area Two,Skiddo,,1
East Province Area Two,Yungoos,,1
East Province Area Two,Gumshoos,,1
East Province Area Two,Crabrawler,,1
East Province Area Two,Crabominable,,1
East Province Area Two,Salandit,,1
East Province Area Two,Bounsweet,,1
East Province Area Two,Steenee,,1
East Province Area Two,Sandygast,,1
East Province Area Two,Komala,,1
East Province Area Two,Mimikyu,,1
East Province Area Two,Rookidee,,1
East Province Area Two,Corvisquire,,1
East Province Area Two,Chewtle,,1
East Province Area Two,Drednaw,,1
East Province Area Two,Applin,,1
East Province Area Two,Arrokuda,,1
East Province Area Two,Barraskewda,,1
East Province Area Two,Pincurchin,,1
East Province Area Two,Dreepy,Violet,1
East Province Area Two,Lechonk,,1
East Province Area Two,Oinkologne,,1
East Province Area Two,Spidops,,1
East Province Area Two,Lokix,,1
East Province Area Two,Pawmo,,1
East Province Area Two,Tandemaus,,1
East Province Area Two,Squakabilly,,1
East Province Area Two,Nacli,,1
East Province Area Two,Charcadet,,1
East Province Area Two,Tadbulb,,1
East Province Area Two,Wattrel,,1
East Province Area Two,Shroodle,,1
East Province Area Two,Toedscool,,1
East Province Area Two,Flittle,,1
East Province Area Two,Tinkatink,,1
East Province Area Two,Tinkatuff,,1
East Province Area Two,Wiglett,,1
East Province Area Two,Cyclizar,,1
East Province Area Two,Flamigo,,1
East Province Area Three,Diglett,,1
East Province Area Three,Dugtrio,,1
East Province Area Three,Meowth,,1
East Province Area Three,Psyduck,,1
East Province Area Three,Growlithe,,1
East Province Area Three,Magnemite,,1
East Province Area Three,Gastly,,1
East Province Area Three,Voltorb,,1
East Province Area Three,Magikarp,,1
East Province Area Three,Murkrow,,1
East Province Area Three,Dunsparce,,1
East Province Area Three,Larvitar,Scarlet,1
East Province Area Three,Makuhita,,1
East Province Area Three,Hariyama,,1
East Province Area Three,Sableye,,1
East Province Area Three,Torkoal,,1
East Province Area Three,Barboach,,1
East Province Area Three,Shuppet,,1
East Province Area Three,Bagon,Violet,1
East Province Area Three,Buizel,,1
East Province Area Three,Basculin,,1
East Province Area Three,Gothita,,1
East Province Area Three,Pawniard,,1
East Province Area Three,Rufflet,,1
East Province Area Three,Skiddo,,1
East Province Area Three,Goomy,,1
East Province Area Three,Yungoos,,1
East Province Area Three,Gumshoos,,1
East Province Area Three,Salandit,,1
East Province Area Three,Rookidee,,1
East Province Area Three,Corvisquire,,1
East Province Area Three,Chewtle,,1
East Province Area Three,Drednaw,,1
East Province Area Three,Rolycoly,,1
East Province Area Three,Carkol,,1
East Province Area Three,Arrokuda,,1
East Province Area Three,Barraskewda,,1
East Province Area Three,Sinistea,,1
East Province Area Three,Cufant,,1
East Province Area Three,Dreepy,Violet,1
East Province Area Three,Tandemaus,,1
East Province Area Three,Squakabilly,,1
East Province Area Three,Nacli,,1
East Province Area Three,Charcadet,,1
East Province Area Three,Tadbulb,,1
East Province Area Three,Bramblin,,1
East Province Area Three,Varoom,,1
East Province Area Three,Orthworm,,1
East Province Area Three,Glimmet,,1
East Province Area Three,Flamigo,,1
Socarrat Trail,Raichu,,1
Socarrat Trail,Jolteon,,1
Socarrat Trail,Sudowood,,1
Socarrat Trail,Forretress,,1
Socarrat Trail,Heracross,,1
Socarrat Trail,Slaking,,1
Socarrat Trail,Honchkrow,,1
Socarrat Trail,Spiritomb,,1
Socarrat Trail,Leafeon,,1
Socarrat Trail,Zoroark,,1
Socarrat Trail,Sawsbuck,,1
Socarrat Trail,Amoonguss,,1
Socarrat Trail,Hawlucha,,1
Socarrat Trail,Fomantis,,1
Socarrat Trail,Lurantis,,1
Socarrat Trail,Spidops,,1
Socarrat Trail,Grafaiai,,1
Socarrat Trail,Brambleghast,,1
Socarrat Trail,Toedscool,,1
Socarrat Trail,Toedscruel,,1
Socarrat Trail,Tinkatuff,,1
Glaseado Mountain,Psyduck,,1
Glaseado Mountain,Golduck,,1
Glaseado Mountain,Magneton,,1
Glaseado Mountain,Haunter,,1
Glaseado Mountain,Vaporeon,,1
Glaseado Mountain,Misdreavus,Violet,1
Glaseado Mountain,Sneasel,,1
Glaseado Mountain,Delibird,,1
Glaseado Mountain,Gardevoir,,1
Glaseado Mountain,Hariyama,,1
Glaseado Mountain,Whiscash,,1
Glaseado Mountain,Banette,,1
Glaseado Mountain,Snorunt,,1
Glaseado Mountain,Glalie,,1
Glaseado Mountain,Bagon,Violet,1
Glaseado Mountain,Floatzel,,1
Glaseado Mountain,Drifloon,Scarlet,1
Glaseado Mountain,Drifblim,Scarlet,1
Glaseado Mountain,Mismagius,Violet,1
Glaseado Mountain,Bronzong,,1
Glaseado Mountain,Spiritomb,,1
Glaseado Mountain,Gabite,,1
Glaseado Mountain,Snover,,1
Glaseado Mountain,Abomasnow,,1
Glaseado Mountain,Weavile,,1
Glaseado Mountain,Glaceon,,1
Glaseado Mountain,Gallade,,1
Glaseado Mountain,Froslass,,1
Glaseado Mountain,Basculin,,1
Glaseado Mountain,Deerling,,1
Glaseado Mountain,Sawsbuck,,1
Glaseado Mountain,Cubchoo,,1
Glaseado Mountain,Beartic,,1
Glaseado Mountain,Cryogonal,,1
Glaseado Mountain,Rufflet,,1
Glaseado Mountain,Deino,Scarlet,1
Glaseado Mountain,Zweilous,Scarlet,1
Glaseado Mountain,Goomy,,1
Glaseado Mountain,Klefki,,1
Glaseado Mountain,Bergmite,,1
Glaseado Mountain,Avalugg,,1
